"시도(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시도(1)",총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,총계,총계,총계,총계,총계,지방자치단체,지방자치단체,지방자치단체,지방자치단체,지방자치단체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,위탁처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체,자가처리업체
"시도(1)",계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,소계,매립,소각,재활용,계,매립,소각,재활용,기타,소계,매립,소각,재활용,기타,소계,매립,소각,재활용,기타,소계,매립,소각,재활용,기타
"합계",40920.4,6989.8,9629.9,24300.7,26857.4,6485.4,8035.1,12336.9,13987.1,504.4,1594.8,11887.9,75.9,0.0,0.0,75.9,40941.7,6684.3,10671.5,23585.9,27732.7,6167.9,9564.4,12000.4,13015.1,516.4,1107.1,11391.6,193.9,0.0,0.0,193.9,41644.2,6505.0,11111.2,24028.0,27801.0,6472.6,10933.1,10395.3,13784.8,32.4,178.1,13574.3,58.4,0.0,0.0,58.4,40542.7,6433.2,11033.2,23076.3,30024.4,6386.6,10591.9,13045.9,10388.2,46.6,441.3,9900.3,130.1,0.0,0.0,130.1,42355.2,6271.7,11530.6,24552.9,32477.7,6116.0,11038.5,15323.2,9658.4,155.7,492.1,9010.6,219.1,0.0,0.0,219.1,43411.2,5953.2,12074.9,25383.1,30748.6,5869.0,11674.7,13204.9,12618.7,84.2,400.2,12134.3,43.9,0.0,0.0,43.9,45460.3,6465.5,12389.0,26605.8,31928.6,6387.0,11965.5,13576.1,13410.2,78.5,423.5,12908.2,121.5,0.0,0.0,121.5,45008.9,6229.1,12016.7,26763.1,32864.9,6195.8,11598.5,15070.6,12009.2,33.3,418.2,11557.7,134.8,0.0,0.0,134.8,46749.3,6545.2,12429.3,27774.8,34367.6,6451.3,11894.7,16021.6,12317.3,82.5,534.5,11700.3,64.4,11.4,0.1,52.9,45912.1,6753.5,13101.4,25887.2,170.0,28730.7,6380.7,11688.5,10598.1,63.4,17086.4,370.1,1411.6,15199.2,105.5,95.0,2.7,1.3,89.9,1.1
"서울",8393.6,1033.9,1820.8,5538.9,4338.2,681.1,1050.3,2606.8,4054.3,352.8,770.5,2931.0,1.1,0.0,0.0,1.1,7943.3,899.3,2116.4,4927.6,4482.2,551.4,1319.7,2611.1,3461.1,347.9,796.7,2316.5,0.0,0.0,0.0,0.0,8010.6,614.4,2250.0,5146.2,4435.6,614.4,2250.0,1571.2,3575.0,0.0,0.0,3575.0,0.0,0.0,0.0,0.0,7567.7,730.5,2079.7,4757.5,5371.6,683.9,1893.0,2794.7,2109.2,46.6,186.7,1875.9,86.9,0.0,0.0,86.9,8666.5,881.2,2063.9,5721.4,6112.4,775.9,1851.0,3485.5,2449.0,105.3,212.9,2130.8,105.1,0.0,0.0,105.1,8657.4,683.3,2008.4,5965.7,4568.9,683.3,2008.4,1877.2,4088.5,0.0,0.0,4088.5,0.0,0.0,0.0,0.0,8750.9,729.2,2120.1,5901.6,4582.2,727.9,2114.2,1740.1,4168.7,1.3,5.9,4161.5,0.0,0.0,0.0,0.0,8431.5,769.4,2066.4,5595.7,4680.9,769.4,2066.4,1845.1,3745.1,0.0,0.0,3745.1,5.5,0.0,0.0,5.5,8586.9,839.9,2020.5,5726.5,4609.5,839.5,2017.9,1752.1,3968.8,0.4,2.6,3965.8,8.6,0.0,0.0,8.6,8658.0,970.4,2165.0,5513.1,9.5,3773.7,830.6,1892.9,1050.2,0.0,4879.5,139.8,272.1,4458.3,9.3,4.8,0.0,0.0,4.6,0.2
"부산",2638.6,223.4,512.7,1902.5,1760.9,223.4,512.7,1024.8,877.7,0.0,0.0,877.7,0.0,0.0,0.0,0.0,2712.6,214.1,629.9,1868.6,1691.8,214.1,629.9,847.8,1020.8,0.0,0.0,1020.8,0.0,0.0,0.0,0.0,2698.1,255.4,599.2,1843.5,1565.3,255.4,599.2,710.7,1132.8,0.0,0.0,1132.8,0.0,0.0,0.0,0.0,2648.2,193.5,584.7,1870.0,1537.6,193.5,584.7,759.4,1110.6,0.0,0.0,1110.6,0.0,0.0,0.0,0.0,2855.3,198.8,369.2,2287.3,1678.4,198.8,369.2,1110.4,1176.9,0.0,0.0,1176.9,0.0,0.0,0.0,0.0,2875.8,201.7,377.1,2297.0,1719.3,201.7,377.1,1140.5,1156.5,0.0,0.0,1156.5,0.0,0.0,0.0,0.0,2847.1,207.7,355.6,2283.8,1337.4,162.5,304.1,870.8,1509.7,45.2,51.5,1413.0,0.0,0.0,0.0,0.0,2841.0,200.1,349.1,2291.8,1707.0,200.1,349.1,1157.8,1134.0,0.0,0.0,1134.0,0.0,0.0,0.0,0.0,2795.8,70.1,309.3,2416.4,1684.6,65.7,275.2,1343.7,1111.2,4.4,34.1,1072.7,0.0,0.0,0.0,0.0,2951.0,99.0,421.2,2430.8,0.0,1276.3,99.0,308.6,868.7,0.0,1674.7,0.0,112.6,1562.1,0.0,0.0,0.0,0.0,0.0,0.0
"대구",2015.7,486.0,315.5,1214.2,1196.7,486.0,315.5,395.2,819.0,0.0,0.0,819.0,0.0,0.0,0.0,0.0,2044.4,500.1,334.0,1210.3,952.9,414.3,264.8,273.8,996.5,85.8,69.2,841.5,95.0,0.0,0.0,95.0,2084.3,566.7,347.7,1169.9,1697.5,566.7,347.7,783.1,386.8,0.0,0.0,386.8,0.0,0.0,0.0,0.0,2158.9,640.8,341.0,1177.1,1635.1,640.8,341.0,653.3,523.8,0.0,0.0,523.8,0.0,0.0,0.0,0.0,2223.9,658.6,350.7,1214.6,1636.0,658.6,348.6,628.8,587.9,0.0,2.1,585.8,0.0,0.0,0.0,0.0,2297.9,689.6,346.5,1261.8,1562.5,689.6,346.5,526.4,735.4,0.0,0.0,735.4,0.0,0.0,0.0,0.0,2407.9,589.3,301.0,1517.6,1465.9,589.3,301.0,575.6,942.0,0.0,0.0,942.0,0.0,0.0,0.0,0.0,2396.4,360.9,245.2,1790.3,1425.1,360.9,245.2,819.0,971.3,0.0,0.0,971.3,0.0,0.0,0.0,0.0,2556.8,410.5,255.5,1890.8,1627.4,386.5,239.4,1001.5,929.4,24.0,16.1,889.3,0.0,0.0,0.0,0.0,2567.9,487.8,262.0,1818.1,0.0,1651.8,487.8,227.2,936.8,0.0,915.6,0.0,34.8,880.8,0.0,0.5,0.0,0.0,0.5,0.0
"인천",1863.4,145.3,596.9,1121.2,228.3,26.4,32.7,169.2,1634.7,118.9,564.2,951.6,0.4,0.0,0.0,0.4,1852.0,134.0,587.0,1131.0,1343.7,134.0,585.2,624.5,508.1,0.0,1.8,506.3,0.2,0.0,0.0,0.2,1698.5,114.0,627.6,956.9,1272.8,114.0,625.7,533.1,425.7,0.0,1.9,423.8,0.0,0.0,0.0,0.0,1608.8,153.0,609.6,846.2,1331.0,153.0,588.2,589.8,277.8,0.0,21.4,256.4,0.0,0.0,0.0,0.0,1460.7,170.6,577.2,712.9,958.7,136.7,418.1,403.9,502.0,33.9,159.1,309.0,0.0,0.0,0.0,0.0,1602.5,179.6,619.6,803.3,748.9,118.4,350.0,280.5,840.0,61.2,269.6,509.2,13.6,0.0,0.0,13.6,1837.8,199.6,600.3,1037.9,1356.5,199.6,583.2,573.7,447.3,0.0,17.1,430.2,34.0,0.0,0.0,34.0,1838.3,242.6,587.1,1008.6,1413.6,224.9,540.6,648.1,424.7,17.7,46.5,360.5,0.0,0.0,0.0,0.0,1985.1,293.3,584.1,1107.7,1666.0,293.3,584.1,788.6,319.1,0.0,0.0,319.1,0.0,0.0,0.0,0.0,1913.8,338.1,516.6,1059.1,0.0,1206.8,338.1,447.7,421.0,0.0,705.6,0.0,68.9,636.7,0.0,1.4,0.0,0.0,1.4,0.0
"광주",1238.4,235.2,231.9,771.3,982.2,235.2,231.9,515.1,256.2,0.0,0.0,256.2,0.0,0.0,0.0,0.0,1154.3,206.2,203.0,745.1,784.4,152.3,196.6,435.5,339.4,53.9,6.4,279.1,30.5,0.0,0.0,30.5,1169.1,208.9,233.7,726.5,674.7,208.9,233.7,232.1,494.4,0.0,0.0,494.4,0.0,0.0,0.0,0.0,1195.6,201.1,242.5,752.0,930.1,201.1,242.5,486.5,265.5,0.0,0.0,265.5,0.0,0.0,0.0,0.0,1147.4,173.0,240.9,733.5,986.8,173.0,240.9,572.9,122.9,0.0,0.0,122.9,37.7,0.0,0.0,37.7,1126.5,183.7,238.0,704.8,884.4,183.7,238.0,462.7,242.1,0.0,0.0,242.1,0.0,0.0,0.0,0.0,1086.6,247.0,189.6,650.0,917.2,247.0,189.6,480.6,169.4,0.0,0.0,169.4,0.0,0.0,0.0,0.0,1071.4,117.9,0.0,953.5,921.1,117.9,0.0,803.2,150.3,0.0,0.0,150.3,0.0,0.0,0.0,0.0,1096.5,486.6,0.0,609.9,951.2,486.6,0.0,464.6,145.3,0.0,0.0,145.3,0.0,0.0,0.0,0.0,1160.2,519.0,13.6,627.6,0.0,908.1,519.0,0.0,389.1,0.0,251.1,0.0,13.6,237.5,0.0,1.0,0.0,0.0,1.0,0.0
"대전",1295.5,203.6,242.8,849.1,620.2,203.6,242.8,173.8,675.3,0.0,0.0,675.3,0.0,0.0,0.0,0.0,1234.8,190.0,243.1,801.7,634.8,190.0,243.1,201.7,599.7,0.0,0.0,599.7,0.3,0.0,0.0,0.3,1322.5,193.7,245.3,883.5,635.4,193.7,245.3,196.4,685.8,0.0,0.0,685.8,1.3,0.0,0.0,1.3,1301.7,204.6,255.1,842.0,786.6,204.6,255.1,326.9,513.4,0.0,0.0,513.4,1.7,0.0,0.0,1.7,1257.2,183.4,276.7,797.1,681.7,182.6,276.7,222.4,574.6,0.8,0.0,573.8,0.9,0.0,0.0,0.9,1356.0,235.4,224.5,896.1,718.5,216.5,224.5,277.5,636.5,18.9,0.0,617.6,1.0,0.0,0.0,1.0,1406.7,244.1,245.3,917.3,664.9,220.5,245.3,199.1,741.8,23.6,0.0,718.2,0.0,0.0,0.0,0.0,1440.4,343.6,201.8,895.0,932.6,343.6,201.8,387.2,507.7,0.0,0.0,507.7,0.1,0.0,0.0,0.1,1396.0,192.6,205.7,997.7,732.3,192.6,205.7,334.0,663.2,0.0,0.0,663.2,0.5,0.0,0.0,0.5,1286.7,209.4,186.1,877.6,13.6,821.9,208.0,170.6,443.3,0.0,464.7,1.4,15.5,434.2,13.6,0.1,0.0,0.0,0.1,0.0
